option,implementation,n,block_size,threads,runs,time_s_avg,gflops_avg,joules_avg,watts_avg,speedup,efficiency
6,sycl_block,5120,128,,3,2.0463833333333334,43.72626666666667,38.28790633333333,18.711132000000003,19.80355586685453,
6,sycl_block,6144,32,,3,3.44209,44.92080000000001,64.22975133333334,18.659855666666665,20.318759823246925,
6,sycl_block,6144,64,,3,3.463036666666667,44.64936666666667,64.094403,18.50916833333333,20.195858933055863,
6,sycl_block,6144,128,,3,3.473466666666667,44.51433333333333,64.72852,18.635000666666667,20.135215538750913,
6,sycl_block,7168,32,,3,5.39526,45.508266666666664,99.34546333333333,18.41344966666667,21.393717201148167,
6,sycl_block,7168,64,,3,5.38673,45.58033333333333,100.75950900000002,18.70524066666667,21.4275946013011,
6,sycl_block,7168,128,,3,5.413486666666667,45.35523333333333,101.85802933333332,18.815573666666666,21.32168670099246,
6,sycl_block,8192,32,,3,8.010146666666666,45.75506666666667,149.75631366666667,18.695868,20.894498810675124,
6,sycl_block,8192,64,,3,8.007263333333333,45.77173333333334,149.828652,18.711894,20.902022705218883,
6,sycl_block,8192,128,,3,8.005429999999999,45.782000000000004,147.628184,18.441221,20.906809503049804,
